Title,Score
Kimi wa Haru ni Me wo Samasu (You Will Wake Up in the Spring),6.97
Saboten no Himitsu (Cactus's Secret),7.44
Pure Love Seasons 1: Haru - Hajimete,7.01
Goblin Slayer: Goblin's Crown,7.26
Code Name wa  (Sailor V),7.51
Nitaboh,7.28
Kidou Senshi Gundam: Suisei no Majo - PrologueMobile Suit Gundam: The Witch from Mercury - Prologue,7.87
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 3-bu - Ryouchi ni Hon wo Hirogeyou! (Ascendance of a Bookworm: I'll do Anything to Become a Librarian! Part 3 - Let's Spread Books Through the Duchy!),7.83
Karakai Jouzu no Takagi-san MovieTeasing Master Takagi-san: The Movie,8.48
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,7.13
Owaranai SeraphSeraph of the Endless,7.34
Carbonard Crown,7.16
Slayers Try,7.81
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto (Zom 100: Bucket List of the Dead),7.65
Haikyuu!! Tokushuu! Haru-kou Volley ni Kaketa SeishunHaikyuu!! Special Feature! The Spring Tournament of Their Youth,7.53
Koutetsujou no Kabaneri Movie 3: Unato KessenKabaneri of the Iron Fortress: The Battle of Unato,7.69
Maple Town MonogatariMaple Town,6.92
Kuu Neru Futari Sumu Futari,7.55
The Frozen Player Returns,7.24
Shijou Saikyou no Deshi Kenichi OVAKenIchi: The Mightiest Disciple OVA,7.88
Monte Cristo Hakushaku (The Count of Monte Cristo),7.59
Legendz: Yomigaeru Ryuuou DensetsuLegendz: Tale of the Dragon Kings,7.39
Hatsukare,7.21
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; AgateramFate/Grand Order: Divine Realm of the Round Table - Camelot Wandering; Agateram,6.87
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? (WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?),8.56
Fruits Basket 2nd Season,8.55
W.I.T.C.H.,7.43
Reikenzan: Eichi e no Shikaku,6.86
Koutetsujou no Kabaneri Movie 1: Tsudou HikariKabaneri of the Iron Fortress: Light That Gathers,7.55
Nukenai Seiken-chan,7.09
Mobius Doumei,7.13
Amagami SS: Tachibana Miya-hen - ImoutoAmagami SS: Little Sister,7.19
Golden Time,7.74
Museum,7.38
Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,7.64
Lupin III: Alcatraz Connection,7.03
Berserk: Ougon Jidai-hen III - KourinBerserk: The Golden Age Arc III - The Advent,8.2
Jigoku no Enra (Enra in Hell),7.3
Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen,7.57
Kuramochi Youichi Special Bangai-hen: OutRun,7.41
"Nihon e Youkoso Elf-san. (Welcome to Japan, Ms. Elf!)",7.26
Sensou Kyoushitsu (The Bugle Call),7.73
Natsume Yuujinchou: Itsuka Yuki no Hi niNatsume’s Book of Friends: On a Certain Snowy Day,8.33
Yu☆Gi☆Oh! Duel MonstersYu-Gi-Oh!,7.49
Wu Shan Wu Xing: Xichuan Huan Zi LinFog Hill of Five Elements,8.2
"Katsute Mahou Shoujo to Aku wa Tekitai shiteita. (This Is the First, and Probably Final, Loose Hostile Relation.)",7.21
Blue Hearts,7.48
Macross Δ Movie 2: Zettai Live!!!,7.6
Magdala de Nemure (May Your Soul Rest in Magdala),7.28
Overlord Movie: Manner Movie,6.86
Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!Sergeant Frog Movie 2,7.26
"Papa no Iukoto wo Kikinasai!Listen to Me, Girls. I Am Your Father!",7.25
Armitage III: Dual-Matrix,6.81
Kyousou Giga (TV)Kyousougiga,7.7
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. (I sold my life for ten thousand yen per year.)",8.78
Otogi Juushi AkazukinFairy Musketeers,7.04
Kakegurui××,7.19
Love Luck,7.32
Ganota no Onna,6.92
Anima Yell!,6.88
Love Live! School Idol Project 2nd SeasonLove Live! School Idol Project 2,7.77
Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,7.36
Winter Woods,8.05
Sumire wa Blue,6.94
"Sayonara Isekai, Mata Kite Ashita (See You Later, Fantasy World. We Hope That Tomorrow Comes Again.)",7.06
Date A Live II: Kurumi Star Festival,7.9
Tondemo Skill de Isekai Hourou Meshi (Campfire Cooking in Another World with My Absurd Skill),7.53
"Omae, Tanuki ni Naranee ka? (Would You like to Be a Tanuki?)",7.31
Mou Speed de Karera wa,6.96
Suzumiya Haruhi no Yuuutsu,7.66
Yuru Yuri Nachuyachumi!+,7.77
Tales of Symphonia The Animation: Sekai Tougou-hen Specials,7.02
Kurayami no Shutter Speed,7.01
Youjo Senki Shokudou,7.31
Ginga Tetsudou 999 (Movie)Galaxy Express 999,7.54
Asari-chan,7.21
Song of the Doll,7.07
Amatsuki,6.88
Crows,8.23
Miseinen dakedo Kodomo ja Nai (That is not a child but a minor),7.41
Monogatari Series Heroine Hon,7.36
Hetalia: The Beautiful World Specials,7.45
Evil Eater,6.92
Wakakusa Monogatari: Nan to Jo-senseiLittle Women II: Jo's Boys,7.55
Koukaku Kidoutai: Stand Alone Complex - Solid State Society - Uchikoma na HibiGhost in the Shell: Stand Alone Complex - Solid State Society: Uchikomatic Days,6.87
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Hon no Tame nara Miko ni Naru! (Ascendance of a Bookworm: I'll do Anything to Become a Librarian! Part 2 - I'll Even Join the Temple to Read Books!),7.91
A-Channel: +A-Channel,6.95
Aoi Kiseki,7.62
Chio-chan no TsuugakuroChio's School Road,7.45
Kyou wa Kaisha Yasumimasu.,6.99
Code Geass: Boukoku no Akito 5 - Itoshiki Mono-tachi eCode Geass: Akito the Exiled - To Beloved Ones,7.13
Happy Sugar Life,7.19
Kedamono Arashi: Hold Me Baby! (Beast's Storm: Hold Me Baby!),7.4
Osomatsu-sanMr. Osomatsu,7.93
Gantz/Minus,7.22
Ao Haru Ride: Special Booklet,7.41
Hokusai,7.32
Hareluya,6.91
Hotori: Tada Saiwai wo Koinegau,6.86
Houkago no Charisma (Afterschool Charisma),7.44
Kubikiri Cycle: Aoiro Savant to ZaregotozukaiThe Kubikiri Cycle,7.76
Tenshi Nanka ja Nai,7.95
Kokuhaku no Jikan+,7.15
Bishoujo Senshi  (Sailor Moon),8.2
Decoration Disorder Disconnection,7.9
Senyuu. 2,7.41
Mashle (Mashle: Magic and Muscles),7.61
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,7.79
Rokujou Hitoma no Majo Life (Witch Life in a Micro Room),7.46
InnocenceGhost in the Shell 2: Innocence,7.78
Tonnura-san,7.27
Senki Senki Momotama (Momo Tama),7.29
Qishi Huanxiang Ye (Knight Fantastic Night),7.28
Skip to LoaferSkip and Loafer,8.13
"Maid no Kishi-san (My Maid, Miss Kishi)",7.1
Ginga Eiyuu Densetsu GaidenLegend of the Galactic Heroes Gaiden,8.12
